epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.1882,1.3795,2.96173,1.7635,0.49215,0.54727,0.65138,0.3851,1.45483,2.92838,2.11399,0.00010002,0.00010002,0.00010002
2,185.385,1.11244,2.25415,1.47921,0.40461,0.69603,0.41278,0.23959,1.60442,3.18939,2.10044,0.000205983,0.000205983,0.000205983
3,262.966,1.12229,1.99661,1.44989,0.36747,0.78571,0.39562,0.22125,1.35451,3.06932,1.92782,0.000300393,0.000300393,0.000300393
4,326.529,1.00402,1.88288,1.36531,0.29068,0.85714,0.44233,0.28507,1.11409,4.12929,1.58518,0.000383252,0.000383252,0.000383252
5,391.554,0.98235,1.68146,1.33255,0.30481,0.73214,0.57375,0.31236,1.33512,4.05138,1.86198,0.000454558,0.000454558,0.000454558
6,471.046,1.02563,1.56438,1.33092,0.35599,0.58929,0.47029,0.30112,1.28731,5.38129,1.73027,0.000514311,0.000514311,0.000514311
7,537.909,0.98476,1.5694,1.33977,0.31932,0.42917,0.36943,0.1858,1.63347,3.6004,1.91786,0.000562512,0.000562512,0.000562512
8,604.5,0.89308,1.44328,1.25645,0.34086,0.46429,0.40895,0.23017,1.40249,3.03299,1.80472,0.000599161,0.000599161,0.000599161
9,669.077,0.90339,1.44043,1.26054,0.53863,0.78571,0.50466,0.34883,0.9891,2.67661,1.50289,0.000624258,0.000624258,0.000624258
10,743.41,0.85018,1.38571,1.20822,0.68471,0.35714,0.23536,0.10479,1.42339,3.40567,1.87213,0.000637803,0.000637803,0.000637803
11,825.422,0.66071,1.46709,1.11764,0.17366,0.28571,0.24848,0.17103,1.12675,3.13382,1.56528,0.000639795,0.000639795,0.000639795
12,902.306,0.61144,1.39793,1.08392,0.53765,0.86636,0.54586,0.35035,1.05891,2.70812,1.54261,0.000630234,0.000630234,0.000630234
13,980.574,0.56598,1.16164,1.06159,0.55528,0.75,0.61603,0.35865,1.17711,2.68048,1.68975,0.000609122,0.000609122,0.000609122
14,1059.16,0.62289,1.28367,1.12366,0.54819,0.625,0.47768,0.24221,1.41833,2.74654,2.03285,0.000576457,0.000576457,0.000576457
15,1132.4,0.54655,1.1256,1.03438,0.50913,0.59831,0.51908,0.29023,1.31415,2.70924,1.93386,0.000511769,0.000511769,0.000511769
16,1209.23,0.50473,1.09794,1.01446,0.52531,0.59375,0.49306,0.32609,1.0519,2.93034,1.55632,0.000429253,0.000429253,0.000429253
17,1295.86,0.47988,1.03944,1.01932,0.54816,0.64314,0.51708,0.32404,1.06846,2.78925,1.54697,0.000346736,0.000346736,0.000346736
18,1372.15,0.44336,0.96904,0.95619,0.59783,0.64854,0.51096,0.27896,1.22441,2.73705,1.70392,0.00026422,0.00026422,0.00026422
19,1437.82,0.46562,1.01904,0.9762,0.57258,0.60714,0.528,0.31159,1.23676,2.50068,1.8421,0.000181703,0.000181703,0.000181703
20,1519.92,0.41611,0.95027,0.9297,0.63543,0.60714,0.58899,0.36806,1.15042,2.40555,1.81326,9.91865e-05,9.91865e-05,9.91865e-05
